pincode,district,state
110001,new delhi,delhi
110002,central,delhi
110003,south east,delhi
110004,new delhi,delhi
110005,central,delhi
110006,north,delhi
110007,north,delhi
110008,west,delhi
110009,north,delhi
110010,new delhi,delhi
110011,new delhi,delhi
110012,west,delhi
110013,south,delhi
110014,south,delhi
110015,west,delhi
110016,south,delhi
110017,south,delhi
110018,west,delhi
110019,south east,delhi
110020,south east,delhi
110021,new delhi,delhi
110022,new delhi,delhi
110023,new delhi,delhi
110024,south east,delhi
110025,south east,delhi
110026,west,delhi
110027,west,delhi
110028,new delhi,delhi
110029,south,delhi
110030,south,delhi
110031,shahdara,delhi
110032,shahdara,delhi
110033,north,delhi
110034,north west,delhi
110035,north west,delhi
110036,north,delhi
110037,new delhi,delhi
110038,new delhi,delhi
110039,north,delhi
110040,north,delhi
110041,west,delhi
110042,north,delhi
110043,west,delhi
110044,south,delhi
110045,south west,delhi
110046,new delhi,delhi
110047,south,delhi
110048,south east,delhi
110049,south east,delhi
110051,east,delhi
110052,north,delhi
110053,north east,delhi
110054,central,delhi
110055,central,delhi
110056,north west,delhi
110057,new delhi,delhi
110058,west,delhi
110059,west,delhi
110060,central,delhi
110061,new delhi,delhi
110062,south,delhi
110063,west,delhi
110064,west,delhi
110065,south east,delhi
110066,new delhi,delhi
110067,new delhi,delhi
110068,south,delhi
110069,new delhi,delhi
110070,new delhi,delhi
110071,south west,delhi
110072,south west,delhi
110073,south west,delhi
110074,south,delhi
110075,south west,delhi
110076,south,delhi
110077,south west,delhi
110078,south west,delhi
110080,south,delhi
110081,north west,delhi
110082,north,delhi
110083,north west,delhi
110084,central,delhi
110085,north west,delhi
110086,north west,delhi
110087,west,delhi
110088,north,delhi
110089,north west,delhi
110090,north east,delhi
110091,east,delhi
110092,east,delhi
110093,north east,delhi
110094,north east,delhi
110095,shahdara,delhi
110096,east,delhi
110097,south west,delhi
110099,north west,delhi
110102,new delhi,delhi
110106,north,delhi
110110,north west,delhi
110119,south east,delhi
110124,south,delhi
110151,shahdara,delhi
110195,shahdara,delhi
121001,faridabad,haryana
121002,faridabad,haryana
121003,faridabad,haryana
121004,faridabad,haryana
121005,faridabad,haryana
121006,faridabad,haryana
121007,faridabad,haryana
121008,faridabad,haryana
121009,faridabad,haryana
121010,faridabad,haryana
121012,faridabad,haryana
121013,faridabad,haryana
121014,faridabad,haryana
121015,faridabad,haryana
121101,faridabad,haryana
121102,palwal,haryana
121103,palwal,haryana
121105,palwal,haryana
121106,palwal,haryana
